cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D speed) [m/s],GPS (3D speed) [m/s],fix,precision
13645.21052631578,2025-01-28T19:01:08.295Z,23.7238182,90.4108419,47.019485963400406,0.193,0.51,3,203
13697.894736842094,2025-01-28T19:01:08.350Z,23.7238174,90.4108425,46.940485963400405,0.182,0.5,3,203
13750.578947368409,2025-01-28T19:01:08.405Z,23.7238167,90.4108427,46.89348596340041,0.228,0.5,3,203
13803.263157894724,2025-01-28T19:01:08.460Z,23.723816,90.4108427,46.852485963400405,0.292,0.52,3,203
13855.947368421039,2025-01-28T19:01:08.515Z,23.723815,90.4108432,46.773485963400404,0.372,0.55,3,203
13908.631578947354,2025-01-28T19:01:08.570Z,23.7238139,90.4108436,46.6894859634004,0.479,0.6,3,203
13961.315789473669,2025-01-28T19:01:08.625Z,23.7238128,90.4108435,46.645485963400404,0.573,0.68,3,203
14014,2025-01-28T19:01:08.680Z,23.7238119,90.4108437,46.6154859634004,0.657,0.75,3,156
14069.611111111111,2025-01-28T19:01:08.735Z,23.7238111,90.4108436,46.5794859634004,0.709,0.81,3,156
14125.222222222223,2025-01-28T19:01:08.790Z,23.7238101,90.4108438,46.49148596340041,0.777,0.86,3,156
14180.833333333334,2025-01-28T19:01:08.845Z,23.7238091,90.410844,46.38448596340041,0.833,0.92,3,156
14236.444444444445,2025-01-28T19:01:08.900Z,23.7238079,90.4108446,46.3504859634004,0.927,0.97,3,156
14292.055555555557,2025-01-28T19:01:08.955Z,23.7238069,90.4108451,46.340485963400404,0.982,1.05,3,156
14347.666666666668,2025-01-28T19:01:09.010Z,23.723806,90.4108454,46.364485963400405,0.981,1.1,3,156
14403.27777777778,2025-01-28T19:01:09.065Z,23.7238051,90.4108455,46.3654859634004,1.01,1.09,3,156
14458.88888888889,2025-01-28T19:01:09.120Z,23.7238043,90.4108455,46.312485963400405,1.05,1.12,3,156
14514.500000000002,2025-01-28T19:01:09.175Z,23.7238035,90.4108456,46.23248596340041,1.089,1.15,3,156
14570.111111111113,2025-01-28T19:01:09.230Z,23.7238025,90.4108456,46.1274859634004,1.15,1.19,3,156
14625.722222222224,2025-01-28T19:01:09.285Z,23.7238016,90.4108454,46.0604859634004,1.178,1.25,3,156
14681.333333333336,2025-01-28T19:01:09.340Z,23.7238009,90.4108452,46.13148596340041,1.166,1.28,3,156
14736.944444444447,2025-01-28T19:01:09.395Z,23.7238006,90.4108451,46.1864859634004,1.11,1.26,3,156
